Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
Peperomia magnoliifolia A.Dietr.,Peperomia,"",magnoliifolia,,,"",A.Dietr.,kew-2555147,TRUE,1.1,Accepted,Piperaceae,Peperomia,"",magnoliifolia,"","",(Jacq.) A.Dietr.,kew-2555147,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Pereskia aculeata Mill.,Pereskia,"",aculeata,,,"",Mill.,kew-2414656,TRUE,1.1,Accepted,Cactaceae,Pereskia,"",aculeata,"","",Mill.,kew-2414656,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Pergularia minor Andr.,Pergularia,"",minor,,,"",Andr.,tro-2600119,TRUE,1.1,Synonym,Apocynaceae,Telosma,"",cordata,"","",(Burm. f.) Merr.,tro-2608429,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Persea americana Miller,Persea,"",americana,,,"",Miller,kew-2529835,TRUE,1.1,Accepted,Lauraceae,Persea,"",americana,"","",Mill.,kew-2529835,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Persicaria amphibia,Persicaria,"",amphibia,,,"","",kew-2571959,TRUE,1.1,Accepted,Polygonaceae,Persicaria,"",amphibia,"","",(L.) Delarbre,kew-2571959,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Persicaria lapathifolia,Persicaria,"",lapathifolia,,,"","",kew-2572508,TRUE,1.1,Accepted,Polygonaceae,Persicaria,"",lapathifolia,"","",(L.) Delarbre,kew-2572508,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Persicaria amphibia f. terrestris,Persicaria,"",amphibia,,f.,terrestris,"",tro-50253317,TRUE,1.1,Synonym,Polygonaceae,Persicaria,"",amphibia,"","",(L.) Delarbre,kew-2571959,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Persicaria hydropiper,Persicaria,"",hydropiper,,,"","",kew-2572559,TRUE,1.1,Accepted,Polygonaceae,Persicaria,"",hydropiper,"","",(L.) Delarbre,kew-2572559,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Persicaria maculosa,Persicaria,"",maculosa,,,"","",kew-2572628,TRUE,1.1,Accepted,Polygonaceae,Persicaria,"",maculosa,"","",Gray,kew-2572628,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Petasites albus,Petasites,"",albus,,,"","",gcc-79731,TRUE,1.1,Accepted,Compositae,Petasites,"",albus,"","",(L.) Gaertn.,gcc-79731,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Petasites fragrans,Petasites,"",fragrans,,,"","",gcc-105609,TRUE,1.1,Accepted,Compositae,Petasites,"",fragrans,"","",(Vill.) C.Presl,gcc-105609,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Petasites hybridus,Petasites,"",hybridus,,,"","",gcc-143847,TRUE,1.1,Accepted,Compositae,Petasites,"",hybridus,"","","(L.) ""G.Gaertn., B.Mey. & Scherb.""",gcc-143847,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Petasites japonicus,Petasites,"",japonicus,,,"","",gcc-121974,TRUE,1.1,Accepted,Compositae,Petasites,"",japonicus,"","",(Siebold & Zucc.) Maxim.,gcc-121974,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Petiveria alliacea L.,Petiveria,"",alliacea,,,"",L.,kew-2562647,TRUE,1.1,Accepted,Phytolaccaceae,Petiveria,"",alliacea,"","",L.,kew-2562647,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
